timestamp,uid,name,temperatureWater,openClosed
2026-09-07 11:14:20,flb6938,Flussbad Au-Höngg,23,offen
2026-09-07 11:14:20,flb6939,Flussbad Oberer Letten,23,offen
2026-09-07 11:14:20,flb6940,Flussbad Unterer Letten,22,offen
2026-09-07 11:14:20,flb8803,Flussbad Unterer Letten,23,offen
2026-09-07 11:14:20,flb6941,Frauenbad Stadthausquai,22,offen
2026-09-07 11:14:20,fb006,Freibad Allenmoos,23,offen
2026-09-07 11:14:20,fb008,Freibad Auhof,25,offen
2026-09-07 11:14:20,fb016,Freibad Dolder,21,geschlossen
2026-09-07 11:14:20,fb012,Freibad Heuried,23,offen
2026-09-07 11:14:20,fb002,Freibad Letzigraben,25,offen
2026-09-07 11:14:20,fb013,Freibad Seebach,24,offen
2026-09-07 11:14:20,fb018,Freibad Zwischen den Hölzern,22,offen
2026-09-07 11:14:20,flb6942,Männerbad Schanzengraben,23,offen
2026-09-07 11:14:20,seb6943,Seebad Enge,24,offen
2026-09-07 11:14:20,seb6945,Seebad Utoquai,22,offen
2026-09-07 11:14:20,seb6946,Strandbad Mythenquai,24,offen
2026-09-07 11:14:20,seb6947,Strandbad Tiefenbrunnen,24,offen
2026-09-07 11:14:20,seb6948,Strandbad Wollishofen,24,offen
2026-09-07 11:15:06,flb6938,Flussbad Au-Höngg,23,offen
2026-09-07 11:15:06,flb6939,Flussbad Oberer Letten,23,offen
2026-09-07 11:15:06,flb6940,Flussbad Unterer Letten,22,offen
2026-09-07 11:15:06,flb8803,Flussbad Unterer Letten,23,offen
2026-09-07 11:15:06,flb6941,Frauenbad Stadthausquai,22,offen
2026-09-07 11:15:06,fb006,Freibad Allenmoos,23,offen
2026-09-07 11:15:06,fb008,Freibad Auhof,25,offen
2026-09-07 11:15:06,fb016,Freibad Dolder,21,geschlossen
2026-09-07 11:15:06,fb012,Freibad Heuried,23,offen
2026-09-07 11:15:06,fb002,Freibad Letzigraben,25,offen
2026-09-07 11:15:06,fb013,Freibad Seebach,24,offen
2026-09-07 11:15:06,fb018,Freibad Zwischen den Hölzern,22,offen
2026-09-07 11:15:06,flb6942,Männerbad Schanzengraben,23,offen
2026-09-07 11:15:06,seb6943,Seebad Enge,24,offen
2026-09-07 11:15:06,seb6945,Seebad Utoquai,22,offen
2026-09-07 11:15:06,seb6946,Strandbad Mythenquai,24,offen
2026-09-07 11:15:06,seb6947,Strandbad Tiefenbrunnen,24,offen
2026-09-07 11:15:06,seb6948,Strandbad Wollishofen,24,offen
2026-09-07 11:29:29,flb6938,Flussbad Au-Höngg,23,offen
2026-09-07 11:29:29,flb6939,Flussbad Oberer Letten,23,offen
2026-09-07 11:29:29,flb6940,Flussbad Unterer Letten,22,offen
2026-09-07 11:29:29,flb8803,Flussbad Unterer Letten,23,offen
2026-09-07 11:29:29,flb6941,Frauenbad Stadthausquai,22,offen
2026-09-07 11:29:29,fb006,Freibad Allenmoos,23,offen
2026-09-07 11:29:29,fb008,Freibad Auhof,25,offen
2026-09-07 11:29:29,fb016,Freibad Dolder,21,geschlossen
2026-09-07 11:29:29,fb012,Freibad Heuried,23,offen
2026-09-07 11:29:29,fb002,Freibad Letzigraben,25,offen
2026-09-07 11:29:29,fb013,Freibad Seebach,24,offen
2026-09-07 11:29:29,fb018,Freibad Zwischen den Hölzern,22,offen
2026-09-07 11:29:29,flb6942,Männerbad Schanzengraben,23,offen
2026-09-07 11:29:29,seb6943,Seebad Enge,24,offen
2026-09-07 11:29:29,seb6945,Seebad Utoquai,22,offen
2026-09-07 11:29:29,seb6946,Strandbad Mythenquai,24,offen
2026-09-07 11:29:29,seb6947,Strandbad Tiefenbrunnen,24,offen
2026-09-07 11:29:29,seb6948,Strandbad Wollishofen,24,offen
2026-09-07 11:30:04,flb6938,Flussbad Au-Höngg,23,offen
2026-09-07 11:30:04,flb6939,Flussbad Oberer Letten,23,offen
2026-09-07 11:30:04,flb6940,Flussbad Unterer Letten,22,offen
2026-09-07 11:30:04,flb8803,Flussbad Unterer Letten,23,offen
2026-09-07 11:30:04,flb6941,Frauenbad Stadthausquai,22,offen
2026-09-07 11:30:04,fb006,Freibad Allenmoos,23,offen
2026-09-07 11:30:04,fb008,Freibad Auhof,25,offen
2026-09-07 11:30:04,fb016,Freibad Dolder,21,geschlossen
2026-09-07 11:30:04,fb012,Freibad Heuried,23,offen
2026-09-07 11:30:04,fb002,Freibad Letzigraben,25,offen
2026-09-07 11:30:04,fb013,Freibad Seebach,24,offen
2026-09-07 11:30:04,fb018,Freibad Zwischen den Hölzern,22,offen
2026-09-07 11:30:04,flb6942,Männerbad Schanzengraben,23,offen
2026-09-07 11:30:04,seb6943,Seebad Enge,24,offen
2026-09-07 11:30:04,seb6945,Seebad Utoquai,22,offen
2026-09-07 11:30:04,seb6946,Strandbad Mythenquai,24,offen
2026-09-07 11:30:04,seb6947,Strandbad Tiefenbrunnen,24,offen
2026-09-07 11:30:04,seb6948,Strandbad Wollishofen,24,offen
2026-09-07 11:44:22,flb6938,Flussbad Au-Höngg,23,offen
2026-09-07 11:44:22,flb6939,Flussbad Oberer Letten,23,offen
2026-09-07 11:44:22,flb6940,Flussbad Unterer Letten,22,offen
2026-09-07 11:44:22,flb8803,Flussbad Unterer Letten,23,offen
2026-09-07 11:44:22,flb6941,Frauenbad Stadthausquai,22,offen
2026-09-07 11:44:22,fb006,Freibad Allenmoos,23,offen
2026-09-07 11:44:22,fb008,Freibad Auhof,25,offen
2026-09-07 11:44:22,fb016,Freibad Dolder,21,geschlossen
2026-09-07 11:44:22,fb012,Freibad Heuried,23,offen
2026-09-07 11:44:22,fb002,Freibad Letzigraben,25,offen
2026-09-07 11:44:22,fb013,Freibad Seebach,24,offen
2026-09-07 11:44:22,fb018,Freibad Zwischen den Hölzern,22,offen
2026-09-07 11:44:22,flb6942,Männerbad Schanzengraben,23,offen
2026-09-07 11:44:22,seb6943,Seebad Enge,24,offen
2026-09-07 11:44:22,seb6945,Seebad Utoquai,22,offen
2026-09-07 11:44:22,seb6946,Strandbad Mythenquai,24,offen
2026-09-07 11:44:22,seb6947,Strandbad Tiefenbrunnen,24,offen
2026-09-07 11:44:22,seb6948,Strandbad Wollishofen,24,offen
2026-09-07 11:45:07,flb6938,Flussbad Au-Höngg,23,offen
2026-09-07 11:45:07,flb6939,Flussbad Oberer Letten,23,offen
2026-09-07 11:45:07,flb6940,Flussbad Unterer Letten,22,offen
2026-09-07 11:45:07,flb8803,Flussbad Unterer Letten,23,offen
2026-09-07 11:45:07,flb6941,Frauenbad Stadthausquai,22,offen
2026-09-07 11:45:07,fb006,Freibad Allenmoos,23,offen
2026-09-07 11:45:07,fb008,Freibad Auhof,25,offen
2026-09-07 11:45:07,fb016,Freibad Dolder,21,geschlossen
2026-09-07 11:45:07,fb012,Freibad Heuried,23,offen
2026-09-07 11:45:07,fb002,Freibad Letzigraben,25,offen
2026-09-07 11:45:07,fb013,Freibad Seebach,24,offen
2026-09-07 11:45:07,fb018,Freibad Zwischen den Hölzern,22,offen
2026-09-07 11:45:07,flb6942,Männerbad Schanzengraben,23,offen
2026-09-07 11:45:07,seb6943,Seebad Enge,24,offen
2026-09-07 11:45:07,seb6945,Seebad Utoquai,22,offen
2026-09-07 11:45:07,seb6946,Strandbad Mythenquai,24,offen
2026-09-07 11:45:07,seb6947,Strandbad Tiefenbrunnen,24,offen
2026-09-07 11:45:07,seb6948,Strandbad Wollishofen,24,offen
2026-09-07 11:59:25,flb6938,Flussbad Au-Höngg,23,offen
2026-09-07 11:59:25,flb6939,Flussbad Oberer Letten,23,offen
2026-09-07 11:59:25,flb6940,Flussbad Unterer Letten,22,offen
2026-09-07 11:59:25,flb8803,Flussbad Unterer Letten,23,offen
2026-09-07 11:59:25,flb6941,Frauenbad Stadthausquai,22,offen
2026-09-07 11:59:25,fb006,Freibad Allenmoos,23,offen
