timestamp,uid,name,temperatureWater,openClosed
2026-07-04 10:37:36,flb6939,Flussbad Oberer Letten,25,geschlossen
2026-07-04 10:37:36,flb6940,Flussbad Unterer Letten,24,geschlossen
2026-07-04 10:37:36,flb8803,Flussbad Unterer Letten,24,geschlossen
2026-07-04 10:37:36,flb6941,Frauenbad Stadthausquai,24,offen
2026-07-04 10:37:36,fb006,Freibad Allenmoos,26,geschlossen
2026-07-04 10:37:36,fb008,Freibad Auhof,25,geschlossen
2026-07-04 10:37:36,fb012,Freibad Heuried,25,geschlossen
2026-07-04 10:37:36,fb002,Freibad Letzigraben,25,offen
2026-07-04 10:37:36,fb013,Freibad Seebach,25,offen
2026-07-04 10:37:36,fb018,Freibad Zwischen den Hölzern,25,geschlossen
2026-07-04 10:37:36,seb6943,Seebad Enge,26,offen
2026-07-04 10:37:36,seb6945,Seebad Utoquai,24,offen
2026-07-04 10:37:36,seb6946,Strandbad Mythenquai,26,offen
2026-07-04 10:37:36,seb6947,Strandbad Tiefenbrunnen,26,geschlossen
2026-07-04 10:37:36,seb6948,Strandbad Wollishofen,27,geschlossen
2026-07-04 09:15:05,flb6939,Flussbad Oberer Letten,24,offen
2026-07-04 09:15:05,flb6940,Flussbad Unterer Letten,23,offen
2026-07-04 09:15:05,flb8803,Flussbad Unterer Letten,24,offen
2026-07-04 09:15:05,flb6941,Frauenbad Stadthausquai,24,offen
2026-07-04 09:15:05,fb006,Freibad Allenmoos,20,offen
2026-07-04 09:15:05,fb008,Freibad Auhof,24,offen
2026-07-04 09:15:05,fb012,Freibad Heuried,25,offen
2026-07-04 09:15:05,fb002,Freibad Letzigraben,25,offen
2026-07-04 09:15:05,fb013,Freibad Seebach,25,offen
2026-07-04 09:15:05,fb018,Freibad Zwischen den Hölzern,23,offen
2026-07-04 09:15:05,seb6943,Seebad Enge,26,offen
2026-07-04 09:15:05,seb6945,Seebad Utoquai,24,offen
2026-07-04 09:15:05,seb6946,Strandbad Mythenquai,26,offen
2026-07-04 09:15:05,seb6947,Strandbad Tiefenbrunnen,25,offen
2026-07-04 09:15:05,seb6948,Strandbad Wollishofen,26,offen
2026-07-04 09:30:04,flb6939,Flussbad Oberer Letten,24,offen
2026-07-04 09:30:04,flb6940,Flussbad Unterer Letten,23,offen
2026-07-04 09:30:04,flb8803,Flussbad Unterer Letten,24,offen
2026-07-04 09:30:04,flb6941,Frauenbad Stadthausquai,24,offen
