timestamp,uid,name,currentfill,freespace,maxspace
2026-08-24 06:45:04,BADI-1,Enge,2,418,420
2026-08-24 06:45:04,flb6939,Flussbad Oberer Letten,0,1200,1200
2026-08-24 06:45:04,flb6940,Flussbad Unterer Letten,0,800,800
2026-08-24 06:45:04,flb8803,Flussbad Unterer Letten (Flussteil),0,800,800
2026-08-24 06:45:04,flb6941,Frauenbad Stadthausquai,1,349,350
2026-08-24 06:45:04,fb006,Freibad Allenmoos,0,7500,7500
2026-08-24 06:45:04,fb008,Freibad Auhof,0,2001,2001
2026-08-24 06:45:04,fb012,Freibad Heuried,0,2600,2600
2026-08-24 06:45:04,LETZI-1,Freibad Letzigraben,0,3800,3800
2026-08-24 06:45:04,SSD-11,Freibad Seebach,0,2000,2000
2026-08-24 06:45:04,fb018,Freibad Zwischen den Hölzern,0,2000,2000
2026-08-24 06:45:04,SSD-2,Hallenbad Blaesi,0,70,70
2026-08-24 06:45:04,SSD-3,Hallenbad Bungertwies,0,28,28
2026-08-24 06:45:04,SSD-4,Hallenbad City,43,177,220
2026-08-24 06:45:04,SSD-6,Hallenbad Leimbach,18,62,80
2026-08-24 06:45:04,SSD-7,Hallenbad Oerlikon,38,162,200
2026-08-24 06:45:04,SSD-10,Seebad Utoquai,1,799,800
2026-08-24 06:45:04,seb6946,Strandbad Mythenquai,1,4499,4500
2026-08-24 06:45:04,seb6947,Strandbad Tiefenbrunnen,0,3500,3500
2026-08-24 06:45:04,seb6948,Strandbad Wollishofen,0,700,700
2026-08-24 06:45:04,SSD-5,Waermebad Kaeferberg,0,70,70
2026-08-24 06:59:25,BADI-1,Enge,2,418,420
2026-08-24 06:59:25,flb6939,Flussbad Oberer Letten,0,1200,1200
2026-08-24 06:59:25,flb6940,Flussbad Unterer Letten,0,800,800
2026-08-24 06:59:25,flb8803,Flussbad Unterer Letten (Flussteil),0,800,800
2026-08-24 06:59:25,flb6941,Frauenbad Stadthausquai,2,348,350
2026-08-24 06:59:25,fb006,Freibad Allenmoos,0,7500,7500
2026-08-24 06:59:25,fb008,Freibad Auhof,0,2001,2001
2026-08-24 06:59:25,fb012,Freibad Heuried,0,2600,2600
2026-08-24 06:59:25,LETZI-1,Freibad Letzigraben,0,3800,3800
2026-08-24 06:59:25,SSD-11,Freibad Seebach,0,2000,2000
2026-08-24 06:59:25,fb018,Freibad Zwischen den Hölzern,0,2000,2000
2026-08-24 06:59:25,SSD-2,Hallenbad Blaesi,0,70,70
2026-08-24 06:59:25,SSD-3,Hallenbad Bungertwies,0,28,28
2026-08-24 06:59:25,SSD-4,Hallenbad City,42,178,220
2026-08-24 06:59:25,SSD-6,Hallenbad Leimbach,15,65,80
2026-08-24 06:59:25,SSD-7,Hallenbad Oerlikon,36,164,200
2026-08-24 06:59:25,SSD-10,Seebad Utoquai,1,799,800
2026-08-24 06:59:25,seb6946,Strandbad Mythenquai,1,4499,4500
2026-08-24 06:59:25,seb6947,Strandbad Tiefenbrunnen,0,3500,3500
2026-08-24 06:59:25,seb6948,Strandbad Wollishofen,0,700,700
2026-08-24 06:59:25,SSD-5,Waermebad Kaeferberg,0,70,70
2026-08-24 07:00:06,BADI-1,Enge,2,418,420
2026-08-24 07:00:06,flb6939,Flussbad Oberer Letten,0,1200,1200
2026-08-24 07:00:06,flb6940,Flussbad Unterer Letten,0,800,800
2026-08-24 07:00:06,flb8803,Flussbad Unterer Letten (Flussteil),0,800,800
2026-08-24 07:00:06,flb6941,Frauenbad Stadthausquai,1,349,350
2026-08-24 07:00:06,fb006,Freibad Allenmoos,0,7500,7500
2026-08-24 07:00:06,fb008,Freibad Auhof,0,2001,2001
2026-08-24 07:00:06,fb012,Freibad Heuried,1,2599,2600
2026-08-24 07:00:06,LETZI-1,Freibad Letzigraben,0,3800,3800
2026-08-24 07:00:06,SSD-11,Freibad Seebach,5,1995,2000
2026-08-24 07:00:06,fb018,Freibad Zwischen den Hölzern,1,1999,2000
2026-08-24 07:00:06,SSD-2,Hallenbad Blaesi,0,70,70
2026-08-24 07:00:06,SSD-3,Hallenbad Bungertwies,0,28,28
2026-08-24 07:00:06,SSD-4,Hallenbad City,42,178,220
2026-08-24 07:00:06,SSD-6,Hallenbad Leimbach,15,65,80
2026-08-24 07:00:06,SSD-7,Hallenbad Oerlikon,36,164,200
2026-08-24 07:00:06,SSD-10,Seebad Utoquai,0,800,800
2026-08-24 07:00:06,seb6946,Strandbad Mythenquai,0,4500,4500
2026-08-24 07:00:06,seb6947,Strandbad Tiefenbrunnen,0,3500,3500
2026-08-24 07:00:06,seb6948,Strandbad Wollishofen,0,700,700
2026-08-24 07:00:06,SSD-5,Waermebad Kaeferberg,0,70,70
2026-08-24 07:14:22,BADI-1,Enge,4,416,420
2026-08-24 07:14:22,flb6939,Flussbad Oberer Letten,0,1200,1200
2026-08-24 07:14:22,flb6940,Flussbad Unterer Letten,0,800,800
